name;alternate_url;id;from;to;employer_name;schedule;employment;experience;key_skills
Специалист поддержки бизнес-приложений (1С, Siebel, WinCash);https://hh.ru/vacancy/31100281;31100281;57000;57000;РИВ ГОШ, Сеть магазинов;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': '1c'}, {'name': 'Oracle Siebel CRM'}, {'name': 'Wincash'}]
Повар детского сада;https://hh.ru/vacancy/31653345;31653345;52000;52000;JCat.ru;Полный день;Полная занятость;От 1 года до 3 лет;[]
Программист 1С;https://hh.ru/vacancy/31585478;31585478;0;92000;Фрут Авеню;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': '1С программирование'}, {'name': '1С: Предприятие 8'}, {'name': 'Обновление конфигурации 1С'}, {'name': 'Создание конфигурации 1С'}, {'name': '1С: Управление Производственным Предприятием'}, {'name': 'ERP'}, {'name': '1С: Управление Торговлей'}, {'name': '1C: Зарплата и кадры'}]
Программист С# / .net / node JS / Angular JS / Java;https://hh.ru/vacancy/31631643;31631643;30000;200000;Ю.Би.Си;Полный день;Полная занятость;От 3 до 6 лет;[{'name': '.NET Framework'}, {'name': 'C#'}, {'name': 'JavaScript'}, {'name': 'ASP.NET'}, {'name': 'Ajax'}, {'name': 'PHP5'}, {'name': 'PHP'}, {'name': 'MySQL'}, {'name': 'Python'}, {'name': 'Joomla CMS'}, {'name': 'Yii'}, {'name': 'PostgreSQL'}, {'name': 'C++'}, {'name': 'jQuery'}, {'name': 'MS Visual Studio'}, {'name': 'Entity Framework'}, {'name': 'MS SQL Server'}, {'name': 'HTML'}, {'name': 'CMS Wordpress'}, {'name': 'ADO.NET'}, {'name': 'Git'}, {'name': 'CSS'}, {'name': 'MS SQL'}, {'name': 'Oracle Pl/SQL'}, {'name': 'CSS3'}, {'name': 'SQL'}, {'name': 'AngularJS'}, {'name': 'fullstack'}, {'name': 'backend'}, {'name': 'frontend'}]
Тестировщик ПО;https://hh.ru/vacancy/31652470;31652470;57000;126000;Группа RBI;Полный день;Полная занятость;От 1 года до 3 лет;[]
Специалист по кадрам;https://hh.ru/vacancy/31582417;31582417;57000;57000;АмРест Пицца;Полный день;Полная занятость;От 1 года до 3 лет;[]
Программист 1C;https://hh.ru/vacancy/31531323;31531323;92000;92000;Софт Билдинг;Полный день;Полная занятость;От 3 до 6 лет;[]
Senior QA engineer (auto);https://hh.ru/vacancy/31472688;31472688;0;200000;Рукс Солюшенс;Гибкий график;Полная занятость;От 3 до 6 лет;[]
Специалист по платежам (банк-клиент);https://hh.ru/vacancy/31278609;31278609;30000;45000;ГК Артис Молочная Культура;Полный день;Полная занятость;Нет опыта;[{'name': '1C: Бухгалтерия'}, {'name': 'Банк-клиент'}, {'name': 'Пользователь ПК'}, {'name': 'Грамотная речь'}, {'name': 'Работа в команде'}, {'name': 'Деловое общение'}, {'name': 'MS Excel'}, {'name': 'Ответственность'}, {'name': 'Коммуникабельность'}]
Senior C++/C# Software Developer;https://hh.ru/vacancy/31261956;31261956;172000;264000;Quest Software;Гибкий график;Полная занятость;Более 6 лет;[{'name': 'C++'}, {'name': 'C#'}, {'name': 'ATL'}]
Администратор по приему и размещению гостей;https://hh.ru/vacancy/31369547;31369547;31000;31000;SO/ Sofitel St. Petersburg;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Менеджер по закупкам;https://hh.ru/vacancy/31304882;31304882;50000;50000;АПГ Восточная Европа (Advanced Packaging Group);Полный день;Полная занятость;От 3 до 6 лет;[]
Кладовщик;https://hh.ru/vacancy/30915138;30915138;43000;43000;Булочные Ф.Вольчека;Сменный график;Полная занятость;От 1 года до 3 лет;[{'name': 'Знание принципов FIFO'}, {'name': 'Знание документооборота'}, {'name': 'Адресная система хранения'}]
Ведущий JavaScript / Фронтенд-разработчик;https://hh.ru/vacancy/31580892;31580892;138000;138000;ASD Technologies;Полный день;Полная занятость;От 3 до 6 лет;[]
Технический писатель;https://hh.ru/vacancy/31575653;31575653;40000;40000;Solvo;Полный день;Полная занятость;От 1 года до 3 лет;[]
С# .Net разработчик;https://hh.ru/vacancy/31511811;31511811;0;230000;АРЕС;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'С#'}, {'name': 'Redux'}, {'name': 'JavaScript'}, {'name': 'ASP.NET'}, {'name': 'MVC'}, {'name': '.NET Framework'}, {'name': 'React'}, {'name': '.NET Core'}]
Главный бухгалтер;https://hh.ru/vacancy/31341841;31341841;46000;80000;ТД Союзконцентрат;Полный день;Полная занятость;От 3 до 6 лет;[{'name': 'Бухгалтерская отчетность'}, {'name': 'Пользователь ПК'}, {'name': 'ВЭД'}, {'name': '1C: Бухгалтерия'}, {'name': 'Банк-клиент'}]
Бухгалтер первичной документации (Оператор 1 С);https://hh.ru/vacancy/31304957;31304957;40000;40000;ФудИмпорт;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Бухгалтерская отчетность'}, {'name': 'Деловая переписка'}, {'name': 'Первичная бухгалтерская документация'}, {'name': 'Делопроизводство'}, {'name': '1С: Управление Торговлей'}, {'name': '1C: Бухгалтерия'}, {'name': '1С: Предприятие 8'}]
Делопроизводитель;https://hh.ru/vacancy/31650651;31650651;52000;52000;Специальный Технологический Центр;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Архивирование'}, {'name': 'Делопроизводство'}, {'name': 'Внутренняя документация'}, {'name': 'Организация движения и учета документов'}, {'name': 'Организация хранения документации'}, {'name': 'регистрация документации'}, {'name': 'Предварительное рассмотрение документации'}, {'name': 'Документооборот'}, {'name': '1С: Документооборот'}]
Научный сотрудник PostDoc (Исследования истории империй и национализма в глобальной перспективе);https://hh.ru/vacancy/31194343;31194343;70000;70000;Национальный исследовательский университет «Высшая школа экономики»;Полный день;Полная занятость;От 3 до 6 лет;[]
DevOps;https://hh.ru/vacancy/31473362;31473362;115000;115000;Группа Компаний MVS;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Настройка DNS'}, {'name': 'TCP/IP'}, {'name': 'VPN'}, {'name': 'Atlassian Jira'}, {'name': 'Jenkins'}, {'name': 'TeamCity'}, {'name': 'GitHub'}, {'name': 'IPSEC'}, {'name': 'SSH'}, {'name': 'VMware'}, {'name': 'Node.js'}, {'name': 'Git'}, {'name': 'NET Core 2'}, {'name': 'PostgreSQL'}, {'name': 'MongoDB'}, {'name': 'Redis'}, {'name': 'Zabbix'}, {'name': 'Английский язык'}]
Оператор CNC-станка (Эстония);https://hh.ru/vacancy/31386216;31386216;108000;108000;Сити Сервис;Полный день;Полная занятость;Нет опыта;[]
Электромеханик по лифтам;https://hh.ru/vacancy/29903730;29903730;37000;37000;Сити Сервис;Полный день;Полная занятость;От 1 года до 3 лет;[]
Аналитик;https://hh.ru/vacancy/24709443;24709443;92000;92000;НПК КАТАРСИС;Полный день;Полная занятость;От 3 до 6 лет;[]
Администратор;https://hh.ru/vacancy/31342374;31342374;35000;43000;ГрандМед;Сменный график;Полная занятость;От 1 года до 3 лет;[]
Бухгалтер на первичную документацию;https://hh.ru/vacancy/31441166;31441166;45000;45000;REDMOND;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Авансовые отчеты'}, {'name': 'Расчет заработной платы'}, {'name': '1C: Бухгалтерия'}]
Делопроизводитель/помощник бухгалтера;https://hh.ru/vacancy/31576511;31576511;29000;40000;РТЛ;Полный день;Полная занятость;От 1 года до 3 лет;[]
Главный бухгалтер;https://hh.ru/vacancy/31341210;31341210;60000;60000;Корал,ДТЦ;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Расчет заработной платы'}, {'name': 'Бухгалтерская отчетность'}, {'name': 'Первичная документация'}, {'name': 'Кадровое делопроизводство'}, {'name': 'Банк-клиент'}, {'name': '1С: Предприятие 8'}, {'name': '1C: Бухгалтерия'}, {'name': 'Отчетность в ФСС'}, {'name': 'Отчетность в ПФР'}]
Программист 1С;https://hh.ru/vacancy/31649249;31649249;138000;138000;СМП СИСТЕМА;Полный день;Полная занятость;От 3 до 6 лет;[]
Горничная на круизный лайнер;https://hh.ru/vacancy/31473405;31473405;75000;230000;ИСМИРА;Вахтовый метод;Полная занятость;Нет опыта;[{'name': 'Английский язык'}, {'name': 'Круизы'}, {'name': 'Работа в команде'}, {'name': 'Клининг'}, {'name': 'Гостиницы'}]
Magento разработчик;https://hh.ru/vacancy/29914326;29914326;70000;200000;Mygento eCommerce Solutions;Полный день;Полная занятость;От 1 года до 3 лет;[{'name': 'Magento'}]
Бармен на круизный лайнер;https://hh.ru/vacancy/31473157;31473157;98000;149000;ИСМИРА;Вахтовый метод;Полная занятость;От 1 года до 3 лет;[{'name': 'Английский язык'}, {'name': 'Сервировка'}, {'name': 'Круизы'}, {'name': 'Работа в команде'}, {'name': 'Коктейли'}, {'name': 'Коктейльная карта'}]
